Year,RoundNumber,LapNumber,Driver,Position,Team,Compound,Time,LapTime,TyreLife,PitOutTime,PitStopDuration,DriverNumber,Stint,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,FreshTyre,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,EventName
2025,1,1.0,VER,2.0,Red Bull Racing,INTERMEDIATE,4380.002,119.392,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,2.0,VER,2.0,Red Bull Racing,INTERMEDIATE,4549.358,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,3.0,VER,2.0,Red Bull Racing,INTERMEDIATE,4711.526,,3.0,4551.658,-148.5649999999996,,,,,,,,,,,,,,,,,,,,,,,
2025,1,4.0,VER,2.0,Red Bull Racing,INTERMEDIATE,4867.226,,4.0,4714.029,-142.5139999999992,,,,,,,,,,,,,,,,,,,,,,,
2025,1,5.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5010.835,143.609,5.0,4869.534,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,6.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5150.489,139.654,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,7.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5286.936,136.447,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,8.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5383.766,96.83,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,9.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5478.081,94.315,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,10.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5570.731,92.65,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,11.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5663.184,92.453,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,12.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5754.775,91.591,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,13.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5846.046,91.271,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,14.0,VER,2.0,Red Bull Racing,INTERMEDIATE,5936.685,90.639,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,15.0,VER,2.0,Red Bull Racing,INTERMEDIATE,6027.013,90.328,15.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025,1,16.0,VER,2.0,Red Bull Racing,INTERMEDIATE,6117.605,90.592,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
