Year,RoundNumber,LapNumber
2023,1,10.0
2023,1,11.0
2023,1,12.0
2023,1,13.0
2023,1,14.0
2023,1,15.0
2023,1,16.0
2023,1,18.0
2023,1,26.0
2023,1,27.0
2023,1,28.0
2023,1,30.0
2023,1,31.0
2023,1,32.0
2023,1,33.0
2023,1,34.0
2023,1,35.0
2023,1,37.0
2023,1,38.0
2023,1,41.0
2023,1,48.0
2023,1,55.0
2023,2,2.0
2023,2,3.0
2023,2,9.0
2023,2,10.0
2023,2,12.0
2023,2,14.0
2023,2,15.0
2023,2,16.0
2023,2,17.0
2023,2,18.0
2023,2,19.0
2023,2,20.0
2023,2,36.0
2023,3,1.0
2023,3,2.0
2023,3,3.0
2023,3,8.0
2023,3,9.0
2023,3,37.0
2023,3,46.0
2023,3,54.0
2023,3,55.0
2023,3,56.0
2023,3,58.0
2023,4,1.0
2023,4,6.0
2023,4,7.0
2023,4,8.0
2023,4,9.0
2023,4,10.0
2023,4,11.0
2023,4,12.0
2023,4,13.0
2023,4,24.0
2023,4,35.0
2023,4,50.0
2023,4,51.0
2023,5,3.0
2023,5,5.0
2023,5,6.0
2023,5,15.0
2023,5,16.0
2023,5,18.0
2023,5,19.0
2023,5,21.0
2023,5,23.0
2023,5,25.0
2023,5,32.0
2023,5,34.0
2023,5,37.0
2023,5,38.0
2023,5,40.0
2023,5,43.0
2023,5,46.0
2023,6,2.0
2023,6,19.0
2023,6,21.0
2023,6,24.0
2023,6,32.0
2023,6,33.0
2023,6,34.0
2023,6,35.0
2023,6,45.0
2023,6,48.0
2023,6,51.0
2023,6,52.0
2023,6,53.0
2023,6,54.0
2023,6,55.0
2023,6,56.0
2023,6,57.0
2023,6,58.0
2023,6,60.0
2023,6,71.0
2023,7,1.0
2023,7,2.0
2023,7,6.0
2023,7,9.0
2023,7,10.0
2023,7,11.0
2023,7,14.0
2023,7,15.0
2023,7,16.0
2023,7,17.0
2023,7,18.0
2023,7,20.0
2023,7,23.0
2023,7,25.0
2023,7,26.0
2023,7,27.0
2023,7,28.0
2023,7,35.0
2023,7,36.0
2023,7,37.0
2023,7,38.0
2023,7,39.0
2023,7,40.0
2023,7,42.0
2023,7,43.0
2023,7,44.0
2023,7,45.0
2023,7,46.0
2023,7,51.0
2023,7,53.0
2023,8,2.0
2023,8,11.0
2023,8,12.0
2023,8,13.0
2023,8,28.0
2023,8,32.0
2023,8,33.0
2023,8,34.0
2023,8,35.0
2023,8,36.0
2023,8,37.0
2023,8,38.0
2023,8,39.0
2023,8,40.0
2023,8,41.0
2023,8,42.0
2023,8,43.0
2023,8,51.0
2023,8,54.0
2023,8,69.0
2023,9,1.0
2023,9,2.0
2023,9,3.0
2023,9,9.0
2023,9,12.0
2023,9,13.0
2023,9,15.0
2023,9,16.0
2023,9,22.0
2023,9,23.0
2023,9,24.0
2023,9,25.0
2023,9,26.0
2023,9,35.0
2023,9,37.0
2023,9,38.0
2023,9,39.0
2023,9,41.0
2023,9,42.0
2023,9,43.0
2023,9,44.0
2023,9,45.0
2023,9,46.0
2023,9,48.0
2023,9,50.0
2023,9,51.0
2023,9,55.0
2023,9,70.0
2023,10,8.0
2023,10,15.0
2023,10,19.0
2023,10,25.0
2023,10,27.0
2023,10,28.0
2023,10,29.0
2023,10,30.0
2023,10,32.0
2023,10,33.0
2023,10,34.0
2023,10,37.0
2023,11,9.0
2023,11,10.0
2023,11,11.0
2023,11,14.0
2023,11,15.0
2023,11,16.0
2023,11,17.0
2023,11,18.0
2023,11,19.0
2023,11,21.0
2023,11,24.0
2023,11,25.0
2023,11,29.0
2023,11,30.0
2023,11,32.0
2023,11,35.0
2023,11,39.0
2023,11,41.0
2023,11,42.0
2023,11,43.0
2023,11,44.0
2023,11,45.0
2023,11,47.0
2023,11,50.0
2023,11,52.0
2023,12,1.0
2023,12,6.0
2023,12,7.0
2023,12,8.0
2023,12,9.0
2023,12,10.0
2023,12,11.0
2023,12,13.0
2023,12,14.0
2023,12,15.0
2023,12,18.0
2023,12,21.0
2023,12,23.0
2023,12,24.0
2023,12,25.0
2023,12,26.0
2023,12,28.0
2023,12,29.0
2023,12,30.0
2023,12,31.0
2023,12,34.0
2023,12,35.0
2023,12,43.0
2023,13,1.0
2023,13,2.0
2023,13,3.0
2023,13,4.0
2023,13,5.0
2023,13,10.0
2023,13,11.0
2023,13,12.0
2023,13,13.0
2023,13,16.0
2023,13,17.0
2023,13,18.0
2023,13,35.0
2023,13,36.0
2023,13,38.0
2023,13,42.0
2023,13,43.0
2023,13,44.0
2023,13,45.0
2023,13,46.0
2023,13,47.0
2023,13,48.0
2023,13,49.0
2023,13,50.0
2023,13,60.0
2023,13,61.0
2023,13,62.0
2023,13,64.0
2023,13,65.0
2023,13,68.0
2023,14,11.0
2023,14,12.0
2023,14,13.0
2023,14,14.0
2023,14,15.0
