Year,GP,Driver,Rival,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,Is_Traffic,InLap_Sec,OutLap_Sec,is_undercut,undercut_successful
2022,Bahrain Grand Prix,VER,LEC,6.148,14.0,2.4209999999999923,21.4,0,117.409,96.905,1,0
2022,Bahrain Grand Prix,VER,LEC,6.36,18.0,2.183000000000007,5.399999999999999,0,117.239,96.527,1,0
2022,Bahrain Grand Prix,VER,LEC,7.39,12.0,2.4410000000000025,-17.952380952380953,0,117.242,95.747,1,0
2022,Bahrain Grand Prix,GAS,MAG,1.31,14.0,-0.23900000000000432,21.4,1,121.397,98.705,0,0
2022,Bahrain Grand Prix,GAS,HAM,7.807,5.0,4.015000000000001,-6.9523809523809526,0,120.808,97.324,0,0
2022,Bahrain Grand Prix,PER,LEC,13.626,15.0,0.40399999999999636,20.4,0,118.858,96.634,0,0
2022,Bahrain Grand Prix,PER,SAI,2.496,19.0,-0.047000000000011255,-7.9523809523809526,1,117.056,96.302,0,0
2022,Bahrain Grand Prix,PER,SAI,5.851,10.0,2.9679999999999893,-7.600000000000001,0,116.521,103.562,1,0
2022,Bahrain Grand Prix,ALO,TSU,0.937,11.0,2.951999999999998,24.4,0,120.053,99.05,1,1
2022,Bahrain Grand Prix,ALO,OCO,1.666,11.0,2.5579999999999927,0.04761904761904745,1,120.922,97.995,1,1
2022,Bahrain Grand Prix,ALO,BOT,5.116,6.0,5.4269999999999925,-17.714285714285715,0,117.366,96.733,1,0
2022,Bahrain Grand Prix,STR,TSU,0.313,3.0,5.623999999999995,17.4,0,120.651,98.94,0,0
2022,Bahrain Grand Prix,STR,ZHO,4.206,1.0,-16.13600000000001,-2.6000000000000014,0,121.514,97.861,0,0
2022,Bahrain Grand Prix,STR,ALO,23.662,3.0,6.028999999999982,-19.952380952380953,0,149.264,133.815,0,0
2022,Bahrain Grand Prix,MAG,RUS,11.848,17.0,3.8349999999999937,21.4,1,119.764,97.968,1,0
2022,Bahrain Grand Prix,MAG,HAM,9.036,7.0,5.662999999999997,1.3999999999999986,1,120.375,97.941,0,0
2022,Bahrain Grand Prix,MAG,RUS,6.117,3.0,,-20.952380952380953,0,127.721,110.334,0,0
2022,Bahrain Grand Prix,TSU,HAM,2.03,5.0,5.099999999999994,20.4,1,121.989,99.939,0,0
2022,Bahrain Grand Prix,TSU,BOT,1.5819999999999999,15.0,2.1640000000000015,-3.9523809523809526,0,119.21,98.722,0,0
2022,Bahrain Grand Prix,TSU,BOT,1.206,8.0,2.653000000000006,-8.600000000000001,1,147.999,130.216,1,0
2022,Bahrain Grand Prix,ALB,STR,1.301,13.0,2.516999999999996,22.4,1,121.075,99.517,1,1
2022,Bahrain Grand Prix,ALB,STR,10.185,17.0,3.5130000000000052,-9.952380952380953,0,123.311,99.165,1,0
2022,Bahrain Grand Prix,ALB,ZHO,33.948,4.0,,-20.952380952380953,0,141.354,116.756,0,0
2022,Bahrain Grand Prix,ZHO,TSU,6.223,15.0,-0.5810000000000031,20.4,1,121.722,98.348,0,0
2022,Bahrain Grand Prix,ZHO,GAS,1.787,5.0,3.103999999999999,-11.952380952380953,1,120.031,96.685,0,0
2022,Bahrain Grand Prix,ZHO,BOT,5.693,9.0,0.5799999999999983,-19.952380952380953,1,,112.222,0,0
2022,Bahrain Grand Prix,HUL,ALB,2.035,6.0,4.442000000000007,16.4,0,123.711,99.18,0,0
2022,Bahrain Grand Prix,HUL,NOR,7.164,13.0,3.823999999999998,-1.6000000000000014,0,122.368,98.819,1,0
2022,Bahrain Grand Prix,HUL,LAT,2.885,12.0,1.445999999999998,-18.952380952380953,0,148.352,119.839,1,0
2022,Bahrain Grand Prix,RIC,MSC,0.835,5.0,5.650000000000006,8.047619047619047,0,120.056,99.374,0,0
2022,Bahrain Grand Prix,RIC,ALB,8.683,20.0,2.495999999999995,2.3999999999999986,0,122.85,100.424,1,0
2022,Bahrain Grand Prix,RIC,ALB,7.24,11.0,3.0020000000000095,-19.714285714285715,0,148.703,130.812,1,0
2022,Bahrain Grand Prix,OCO,GAS,2.5380000000000003,17.0,0.07500000000000284,21.4,1,125.634,100.079,0,0
2022,Bahrain Grand Prix,OCO,HAM,12.042,3.0,5.111999999999995,-4.9523809523809526,0,120.824,98.298,0,0
2022,Bahrain Grand Prix,OCO,GAS,9.907,11.0,3.153000000000006,-18.714285714285715,1,116.78,124.785,0,0
2022,Bahrain Grand Prix,NOR,STR,5.023,6.0,5.872,1.0476190476190474,0,122.145,99.351,0,0
2022,Bahrain Grand Prix,NOR,STR,1.001,3.0,3.7900000000000063,-16.714285714285715,1,120.713,97.204,1,0
2022,Bahrain Grand Prix,NOR,ALB,17.609,12.0,4.193999999999988,-9.600000000000001,0,143.748,119.069,1,0
2022,Bahrain Grand Prix,HAM,PER,3.975,14.0,3.013999999999996,24.4,1,123.697,99.33,1,0
2022,Bahrain Grand Prix,HAM,PER,17.055,12.0,3.1029999999999944,-2.7142857142857153,0,121.276,97.871,0,0
2022,Bahrain Grand Prix,HAM,VER,14.65,4.0,-16.235,-18.952380952380953,0,131.741,131.044,0,0
2022,Bahrain Grand Prix,MSC,NOR,1.231,12.0,3.304000000000002,23.4,0,119.469,98.179,0,0
2022,Bahrain Grand Prix,MSC,TSU,9.421,6.0,5.2250000000000085,-9.952380952380953,1,118.5,96.956,0,0
2022,Bahrain Grand Prix,SAI,PER,0.324,17.0,2.9939999999999998,21.4,1,118.327,97.477,1,1
2022,Bahrain Grand Prix,SAI,LEC,20.308,13.0,2.1899999999999977,-18.952380952380953,1,123.686,128.331,1,0
2022,Bahrain Grand Prix,LAT,RIC,4.861,14.0,2.9399999999999977,21.4,0,118.534,99.239,1,1
2022,Bahrain Grand Prix,LAT,NOR,0.241,8.0,3.128,3.3999999999999986,0,123.32,99.285,0,0
2022,Bahrain Grand Prix,LAT,NOR,7.937,4.0,-0.7469999999999857,-19.952380952380953,1,138.301,120.201,0,0
2022,Bahrain Grand Prix,RUS,PER,6.221,18.0,0.652000000000001,20.4,0,122.37,98.089,0,0
